Hours since 00:00 Jan 1,System power generated (kW)
2091,0
2092,0
2093,0
2094,0.0265492
2095,0.163496
2096,0.298299
2097,0.566839
2098,0.67989
2099,0.628277
2100,0.678219
2101,0.606212
2102,0.549474
2103,0.392062
2104,0.256612
2105,0.0532136
2106,0
2107,0
2108,0
2109,0
2110,0
2111,0
2112,0
2113,0
2114,0
2115,0
2116,0
2117,0
2118,0.0349588
2119,0.210905
2120,0.438981
2121,0.624993
2122,0.759596
2123,0.835142
2124,0.848034
2125,0.805912
2126,0.705473
2127,0.549563
2128,0.34149
2129,0.107142
2130,0
2131,0
2132,0
2133,0
2134,0
2135,0
2136,0
2137,0
2138,0
2139,0
2140,0
2141,0
2142,0.0379794
2143,0.20559
2144,0.420058
2145,0.599687
2146,0.727335
2147,0.798161
2148,0.821922
2149,0.791507
2150,0.701003
2151,0.550384
2152,0.317014
2153,0.100183
2154,0
2155,0
2156,0
2157,0
2158,0
2159,0
2160,0
2161,0
2162,0
2163,0
2164,0
2165,0
2166,0.0330261
2167,0.197868
2168,0.405901
2169,0.566765
2170,0.668862
2171,0.713939
2172,0.727434
2173,0.714125
2174,0.641974
2175,0.50905
2176,0.325045
2177,0.109056
2178,0
2179,0
2180,0
2181,0
2182,0
2183,0
2184,0
2185,0
2186,0
2187,0
2188,0
2189,0
2190,0.0198878
2191,0.162024
2192,0.375906
2193,0.591365
2194,0.500499
2195,0.121977
2196,0.353065
2197,0.385346
2198,0.410781
2199,0.22273
2200,0.129803
2201,0.0589468
2202,0
2203,0
2204,0
2205,0
2206,0
2207,0
2208,0
2209,0
2210,0
2211,0
2212,0
2213,0
2214,0.0189458
2215,0.170151
2216,0.311343
2217,0.201832
2218,0.235149
2219,0.202288
2220,0.181954
2221,0.145365
2222,0.115374
2223,0.131089
2224,0.11902
2225,0.0134034
2226,0
2227,0
2228,0
2229,0
2230,0
2231,0
2232,0
2233,0
2234,0
2235,0
2236,0
2237,0
2238,0.0441372
2239,0.219656
2240,0.434719
2241,0.591119
